Produced by "The Resistance", Tue Jun 18 20:01:08 2019
---------------------------------------------------------
Parameters: b = 3, l = 1, level = 1, crosswires = 3
---------------------------------------------------------
y	x	potential
1	0	0
2	0	0
3	0	0
5	0	0
6	0	0
7	0	0
9	0	0
10	0	0
11	0	0
1	12	1
2	12	1
3	12	1
5	12	1
6	12	1
7	12	1
9	12	1
10	12	1
11	12	1
1	1	0.0733738
1	2	0.149614
0	1	0.0733738
2	1	0.0705069
2	2	0.144025
3	1	0.0646291
3	2	0.131586
4	1	0.056424
5	1	0.0482189
5	2	0.0912978
6	1	0.0451539
6	2	0.0841776
7	1	0.0482189
7	2	0.0912978
8	1	0.056424
9	1	0.0646291
9	2	0.131586
10	1	0.0705069
10	2	0.144025
11	1	0.0733738
11	2	0.149614
12	1	0.0733738
11	3	0.231445
12	2	0.149614
10	3	0.224392
9	3	0.206247
8	2	0.111442
7	3	0.121353
6	3	0.108961
5	3	0.121353
4	2	0.111442
3	3	0.206247
2	3	0.224392
1	3	0.231445
0	2	0.149614
1	4	0.320329
0	3	0.231445
2	4	0.31585
3	4	0.30521
4	3	0.1638
5	4	0.121353
6	4	0.108961
7	4	0.121353
8	3	0.1638
9	4	0.30521
10	4	0.31585
11	4	0.320329
12	3	0.231445
11	5	0.409213
11	6	0.5
10	5	0.407309
12	5	0.409213
10	6	0.5
9	5	0.404173
9	6	0.5
8	5	0.404173
9	7	0.595827
8	6	0.5
10	7	0.592691
11	7	0.590787
12	6	0.5
11	8	0.679671
12	7	0.590787
10	8	0.68415
9	8	0.69479
8	7	0.595827
9	9	0.793753
9	10	0.868414
8	9	0.8362
10	9	0.775608
10	10	0.855975
11	9	0.768555
11	10	0.850386
12	9	0.768555
11	11	0.926626
12	10	0.850386
10	11	0.929493
9	11	0.935371
8	10	0.888558
7	10	0.908702
7	9	0.878647
7	11	0.951781
6	10	0.915822
6	9	0.891039
6	11	0.954846
5	10	0.908702
5	9	0.878647
5	11	0.951781
4	10	0.888558
3	10	0.868414
3	9	0.793753
3	11	0.935371
2	10	0.855975
2	9	0.775608
2	11	0.929493
1	10	0.850386
1	9	0.768555
1	11	0.926626
0	10	0.850386
0	11	0.926626
4	11	0.943576
8	11	0.943576
12	11	0.926626
1	8	0.679671
0	9	0.768555
2	8	0.68415
3	8	0.69479
4	9	0.8362
5	8	0.878647
6	8	0.891039
7	8	0.878647
3	7	0.595827
3	6	0.5
2	7	0.592691
4	7	0.595827
2	6	0.5
1	7	0.590787
1	6	0.5
0	7	0.590787
1	5	0.409213
0	6	0.5
2	5	0.407309
3	5	0.404173
4	6	0.5
4	5	0.404173
0	5	0.409213
